model,selector,kind,selected_k,ari_at_k,nmi_at_k,ami_at_k,silhouette_at_k,abs_k_minus_k_ari
label_free,max_silhouette,unsupervised,190,0.2216022415131913,0.56666528265967,0.562251164142081,0.1138312891125679,140
label_free,elbow_inertia,unsupervised,60,0.2387201898000036,0.4884010082363131,0.4866120517342525,0.1136552989482879,10
label_free,max_calinski_harabasz,unsupervised,10,0.0946058917192729,0.294239241224225,0.2937691913949237,0.0645359456539154,40
label_free,min_davies_bouldin,unsupervised,170,0.2174103516391577,0.5536578196767028,0.5495520729731597,0.1034430786967277,120
label_free,max_ari_oracle,oracle,50,0.2442419566629299,0.4725672279319966,0.4710038311925524,0.0996525436639785,0
label_free,max_nmi_oracle,oracle,200,0.206590716015535,0.5681598818320251,0.5635532528549989,0.1070411279797554,150
