k,a2v_1s_vote_Silhouette,a2v_3s_vote_Silhouette,a2v_5s_vote_Silhouette,birdnet_3s_Silhouette,perch_5s_Silhouette,a2v_1s_vote_ARI,a2v_3s_vote_ARI,a2v_5s_vote_ARI,birdnet_3s_ARI,perch_5s_ARI,a2v_1s_vote_AMI,a2v_3s_vote_AMI,a2v_5s_vote_AMI,birdnet_3s_AMI,perch_5s_AMI,a2v_1s_vote_NMI,a2v_3s_vote_NMI,a2v_5s_vote_NMI,birdnet_3s_NMI,perch_5s_NMI,a2v_1s_vote_Purity,a2v_3s_vote_Purity,a2v_5s_vote_Purity,birdnet_3s_Purity,perch_5s_Purity,a2v_1s_vote_VMeasure,a2v_3s_vote_VMeasure,a2v_5s_vote_VMeasure,birdnet_3s_VMeasure,perch_5s_VMeasure,a2v_1s_vote_Inertia,a2v_3s_vote_Inertia,a2v_5s_vote_Inertia,birdnet_3s_Inertia,perch_5s_Inertia
110.0,-0.01213482953608036,0.007090202532708645,0.01653093472123146,-0.01422155275940895,0.015714570879936218,0.0792569111995828,0.11847742960023429,0.11727912900689191,0.1655647181952734,0.23936106169897883,0.2383734953785564,0.22243416825908638,0.2029710313197917,0.3610019019711069,0.3501058782188056,0.4348113613081291,0.6292608590452959,0.7238411577928738,0.7245307836936467,0.8307110465827949,0.22577927548441448,0.44193548387096776,0.5815602836879432,0.6419354838709678,0.8794326241134752,0.4348113613081291,0.6292608590452959,0.7238411577928738,0.7245307836936465,0.8307110465827948,43582.10546875,19909.05078125,11691.291015625,53.76232147216797,21.355745315551758
120.0,-0.021066874265670776,-0.010457729920744896,0.020801294595003128,-0.00010387666407041252,0.04201916977763176,0.10199516651473078,0.17916883621260382,0.1642196024094876,0.14824011046072172,0.23142514335562042,0.24955725295424216,0.27144646090418256,0.25772401167941394,0.335214254213159,0.35743962511013544,0.459801639871093,0.6574674998062434,0.7592228626514513,0.7240637521886202,0.8375289541314935,0.2628475147430497,0.4838709677419355,0.6453900709219859,0.6774193548387096,0.8936170212765957,0.45980163987109307,0.6574674998062435,0.7592228626514513,0.7240637521886203,0.8375289541314935,43275.2734375,19994.16015625,11645.833984375,51.944515228271484,17.474180221557617
130.0,-0.03028816543519497,-0.0037590060383081436,0.008668732829391956,0.007506974507123232,0.024352092295885086,0.08993570871110133,0.1413726451549039,0.20350654687433825,0.21410235996783736,0.1444715293884559,0.2378546452531931,0.2671532841075624,0.2704880373147355,0.4073502895006364,0.26865213823559564,0.465134364646862,0.6555620933451016,0.7524855434499523,0.7666101584485511,0.8260249640362222,0.2620050547598989,0.4935483870967742,0.6453900709219859,0.7451612903225806,0.900709219858156,0.4651343646468619,0.6555620933451017,0.7524855434499522,0.766610158448551,0.826024964036222,42761.33203125,19798.96484375,11560.9296875,46.71552658081055,17.030223846435547
140.0,-0.019577743485569954,0.012354506179690361,0.009204176254570484,-0.00024330269661732018,-0.003331162268295884,0.09987658720325482,0.12064061125783493,0.17736223612187652,0.16801658662468705,0.18499410689458046,0.25114322387643356,0.22618449097416493,0.2559062274424762,0.37599587494817055,0.30275903995908693,0.4887820130382455,0.6571670683279863,0.7581809920893376,0.7626814732004655,0.8232074003779145,0.2847514743049705,0.4806451612903226,0.6524822695035462,0.7580645161290323,0.8794326241134752,0.4887820130382454,0.6571670683279863,0.7581809920893376,0.7626814732004654,0.8232074003779145,42471.0546875,19469.845703125,11534.7919921875,43.27973937988281,20.227237701416016
150.0,-0.0024990078527480364,-0.006816909648478031,0.003351640421897173,0.009331965819001198,,0.09497940402798014,0.15655344146418168,0.14574560914272752,0.166519034123495,,0.24660161837928954,0.26692564043663536,0.23891300854560418,0.35837581640787325,,0.499981129800424,0.6716448728471455,0.7435552664754539,0.7643111117040245,,0.2948609941027801,0.5161290322580645,0.624113475177305,0.7516129032258064,,0.49998112980042403,0.6716448728471455,0.7435552664754538,0.7643111117040245,,42189.18359375,19472.228515625,11514.419921875,40.16860580444336,
160.0,-0.004577758722007275,0.000980402808636427,0.013805392198264599,0.0005367371486499906,,0.11048230964557107,0.1473781397052503,0.10125727114175594,0.11896335648410081,,0.25905308005410765,0.23788004962726408,0.19207764566412078,0.2981333221508961,,0.5155813623466083,0.6645245734545409,0.7256544575792877,0.7472019870879812,,0.3226621735467565,0.5064516129032258,0.5957446808510638,0.7548387096774194,,0.5155813623466083,0.6645245734545409,0.7256544575792877,0.7472019870879812,,41958.3125,19363.283203125,11389.7158203125,39.35540771484375,
170.0,-0.0067162588238716125,-0.0005119810812175274,0.013893679715692997,0.0014965531881898642,,0.12109947202074645,0.17050646793659258,0.14152904499610464,0.17679187602414964,,0.270153044829227,0.2628581491699204,0.2234162982564303,0.36301486178000303,,0.536367875266526,0.6754615656719801,0.7615086290112756,0.77349381426781,,0.34456613310867734,0.5129032258064516,0.6737588652482269,0.8064516129032258,,0.536367875266526,0.6754615656719801,0.7615086290112754,0.77349381426781,,41702.23046875,19317.8984375,11303.0498046875,36.97003173828125,
180.0,-0.008179853670299053,0.000449969811597839,0.018220804631710052,0.008683804422616959,,0.11518159675976497,0.1619506860124716,0.14488130360999368,0.1303386756537264,,0.25371434720439534,0.2584390116103547,0.23511774958309414,0.29349511144079105,,0.5362643040361786,0.6864930678241408,0.7640299257488142,0.7651859422316665,,0.32940185341196293,0.535483870967742,0.6808510638297872,0.7967741935483871,,0.5362643040361786,0.6864930678241408,0.7640299257488143,0.7651859422316666,,41330.734375,19112.234375,11264.791015625,30.518613815307617,
190.0,-0.010083992965519428,0.008495006710290909,0.006522209383547306,0.008402341045439243,,0.110324745984392,0.17842020212762752,0.1326989902618427,0.12029568355489549,,0.26558374573951804,0.2798319520288721,0.20662796178938905,0.2805814130725292,,0.5349345538400633,0.7060075855675211,0.7594876947288356,0.7708305482442325,,0.33698399326032014,0.5806451612903226,0.6737588652482269,0.832258064516129,,0.5349345538400632,0.7060075855675211,0.7594876947288357,0.7708305482442325,,41346.84375,19044.583984375,11240.58984375,27.61551856994629,
200.0,0.0032722419127821922,0.0001361243485007435,0.006945006549358368,0.0017046958673745394,,0.11393827570475012,0.1685063700122152,0.16242119227942656,0.12396425036699706,,0.2600642278108212,0.25952302628129004,0.25265877328254366,0.2845988785632971,,0.5547025810965442,0.6982476534877338,0.7672470272261852,0.7709822801720205,,0.35636057287278855,0.5612903225806452,0.6879432624113475,0.8354838709677419,,0.5547025810965441,0.6982476534877335,0.7672470272261851,0.7709822801720205,,40954.15234375,18968.44921875,11170.9296875,28.552831649780273,
