representation,subset,best_k_by_nmi,nmi,ami,ari,purity,v_measure,silhouette,n_windows,n_frames,umap_dim,cluster_space,cluster_dim,kmeans_batch_size
a2v_1s_vote,single,200,0.5547025810965442,0.2600642278108212,0.11393827570475012,0.35636057287278855,0.5547025810965441,0.0032722419127821922,1187.0,96869.0,,native,768.0,128.0
a2v_3s_vote,single,190,0.7060075855675211,0.2798319520288721,0.17842020212762752,0.5806451612903226,0.7060075855675211,0.008495006710290909,310.0,48823.0,,native,768.0,128.0
a2v_5s_vote,single,200,0.7672470272261852,0.25265877328254366,0.16242119227942656,0.6879432624113475,0.7672470272261851,0.006945006549358368,141.0,30372.0,,native,768.0,128.0
birdnet_3s,single,170,0.77349381426781,0.36301486178000303,0.17679187602414964,0.8064516129032258,0.77349381426781,0.0014965531881898642,310.0,,,native,1024.0,128.0
perch_5s,single,60,0.8496841026920051,0.5822514187378802,0.5125831104832567,0.8226950354609929,0.849684102692005,0.09930841624736786,141.0,,,native,1536.0,128.0
