representation,subset,k,aggregation,n_windows,n_frames,n_points,n_labeled,n_species,n_clusters,ari,ami,nmi,purity,homogeneity,completeness,v_measure,silhouette,inertia,elapsed_s,embedding_dim,cluster_space,cluster_dim,umap_dim,l2_normalize,vocal_frames_only,n_frames_before,kmeans_batch_size,frames_per_window,random_state
a2v_1s_vote,single,10.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,10.0,0.03194583542637016,0.1436499773246177,0.2309405974892678,0.10362257792754845,0.17286174470181573,0.3477939433191699,0.23094059748926782,0.029128162190318108,48244.390625,1.1090948581695557,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,20.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,15.0,0.04258525377554704,0.1597588728964358,0.2795882256928815,0.11710193765796124,0.22307748361930713,0.37444352490998667,0.27958822569288144,0.011153217405080795,47111.80078125,1.2388410568237305,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,30.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,26.0,0.057548620943988146,0.20700531475175418,0.36287003851409505,0.17691659646166807,0.30779616557910483,0.4419475832132595,0.362870038514095,0.014064648188650608,45462.3203125,1.327319622039795,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,40.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,27.0,0.06021537394142742,0.2151262582822309,0.3730927267464327,0.18112889637742208,0.31901699312923026,0.44924267388269545,0.37309272674643273,0.0027506304904818535,44917.26171875,1.3925495147705078,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,50.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,38.0,0.07555179294487042,0.22916118442934982,0.41735122132955826,0.21398483572030327,0.3736592742942625,0.4726139275160284,0.4173512213295583,0.003274046815931797,44242.4296875,1.5927984714508057,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,60.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,40.0,0.07417493399159061,0.2322598170633598,0.41444216610152346,0.21651221566975568,0.366781447231707,0.47633915307493796,0.41444216610152346,-0.0033636940643191338,44092.03515625,1.681067705154419,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,70.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,40.0,0.0905150322602091,0.23977624286768673,0.42925767597548603,0.21988205560235888,0.3859242702701901,0.4835533357525866,0.42925767597548603,-0.02190118469297886,43801.2734375,1.8449828624725342,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,80.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,37.0,0.06695922051740495,0.22887799514672905,0.3987032007247429,0.2021903959561921,0.3447603206029956,0.4726574963311598,0.39870320072474297,0.00946118962019682,44325.90625,1.9062633514404297,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,90.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,54.0,0.07970176811678656,0.22970728766519755,0.4416778793262075,0.2409435551811289,0.40677161926717814,0.48313730149693845,0.4416778793262074,-0.003012919332832098,43400.8671875,2.0490078926086426,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,100.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,39.0,0.07366149778836449,0.2278600953243384,0.40684180855523977,0.20977253580454927,0.3592242681143984,0.4690125017765984,0.40684180855523977,-0.023368243128061295,44075.09765625,2.155303716659546,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,110.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,47.0,0.0792569111995828,0.2383734953785564,0.4348113613081291,0.22577927548441448,0.39355729592803357,0.4857269782314122,0.4348113613081291,-0.01213482953608036,43582.10546875,2.1776721477508545,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,120.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,55.0,0.10199516651473078,0.24955725295424216,0.459801639871093,0.2628475147430497,0.4249595384922607,0.500867364769424,0.45980163987109307,-0.021066874265670776,43275.2734375,2.3476879596710205,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,130.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,59.0,0.08993570871110133,0.2378546452531931,0.465134364646862,0.2620050547598989,0.436779184612735,0.4974267091265375,0.4651343646468619,-0.03028816543519497,42761.33203125,2.557408332824707,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,140.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,68.0,0.09987658720325482,0.25114322387643356,0.4887820130382455,0.2847514743049705,0.4670186594005691,0.5126728811846912,0.4887820130382454,-0.019577743485569954,42471.0546875,2.789754629135132,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,150.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,74.0,0.09497940402798014,0.24660161837928954,0.499981129800424,0.2948609941027801,0.485636792565375,0.5151986404053654,0.49998112980042403,-0.0024990078527480364,42189.18359375,2.955294132232666,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,160.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,85.0,0.11048230964557107,0.25905308005410765,0.5155813623466083,0.3226621735467565,0.5046452987135024,0.5270019114998924,0.5155813623466083,-0.004577758722007275,41958.3125,3.089453935623169,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,170.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,96.0,0.12109947202074645,0.270153044829227,0.536367875266526,0.34456613310867734,0.53331696572,0.5394538919029843,0.536367875266526,-0.0067162588238716125,41702.23046875,3.0598411560058594,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,180.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,98.0,0.11518159675976497,0.25371434720439534,0.5362643040361786,0.32940185341196293,0.5400839080481246,0.532498346946838,0.5362643040361786,-0.008179853670299053,41330.734375,3.315373182296753,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,190.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,95.0,0.110324745984392,0.26558374573951804,0.5349345538400633,0.33698399326032014,0.5325792806890286,0.5373107513986581,0.5349345538400632,-0.010083992965519428,41346.84375,3.621443748474121,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_1s_vote,single,200.0,majority_vote,1187.0,96869.0,1187.0,1187.0,86.0,117.0,0.11393827570475012,0.2600642278108212,0.5547025810965442,0.35636057287278855,0.5662474757158379,0.5436190445657738,0.5547025810965441,0.0032722419127821922,40954.15234375,3.541175603866577,768.0,native,768.0,,1.0,1.0,238587.0,128.0,201.0,42.0
a2v_3s_vote,single,10.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,10.0,0.055688665600958136,0.15891935032848487,0.3643429290380345,0.2,0.2858634910593164,0.5022196262945601,0.36434292903803445,0.03806518390774727,23858.3125,0.902163028717041,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,20.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,17.0,0.07698492552549116,0.18507955195218143,0.4453072601071695,0.24193548387096775,0.3772814892845817,0.5432597564177836,0.4453072601071694,0.016847293823957443,22789.451171875,0.9619178771972656,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,30.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,26.0,0.06616028214641513,0.15771119911961407,0.48646234351891465,0.2709677419354839,0.43946041549576437,0.544722436715764,0.48646234351891465,0.009306159801781178,21910.705078125,1.0537068843841553,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,40.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,35.0,0.10902398488179393,0.20406298584156304,0.5375609128716792,0.31290322580645163,0.49811589723186,0.583790354213104,0.5375609128716792,0.010222158394753933,21469.431640625,1.1527714729309082,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,50.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,40.0,0.14636452956080764,0.2430929587666004,0.5788658680718662,0.3741935483870968,0.5471897091939127,0.6144347628076701,0.5788658680718661,0.0072149247862398624,21079.84765625,1.2397232055664062,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,60.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,48.0,0.12555942091261096,0.222140546758773,0.598457148092305,0.38387096774193546,0.5848970663134028,0.6126608983989862,0.598457148092305,0.023225348442792892,20667.958984375,1.352773904800415,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,70.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,50.0,0.18586057891247773,0.2853386507063824,0.6298944859484289,0.432258064516129,0.6139466878890135,0.6466928951620434,0.6298944859484288,0.011221693828701973,20564.65625,1.4389877319335938,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,80.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,59.0,0.13372872604680167,0.23776574724080776,0.622202072343172,0.44516129032258067,0.6173227769288187,0.6271591137845764,0.622202072343172,0.008371751755475998,20326.00390625,1.4821970462799072,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,90.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,64.0,0.14862879312245536,0.26420886110675407,0.6467355128264172,0.45806451612903226,0.650667991666801,0.6428502823169674,0.6467355128264172,0.007661515846848488,20197.8359375,1.6529972553253174,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,100.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,61.0,0.15694032815128042,0.25576428986031713,0.6371578310608306,0.4483870967741935,0.6370082965336267,0.6373074358094907,0.6371578310608306,0.009512227028608322,19997.939453125,1.711991310119629,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,110.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,65.0,0.11847742960023429,0.22243416825908638,0.6292608590452959,0.44193548387096776,0.6346118792219142,0.6239993234839811,0.6292608590452959,0.007090202532708645,19909.05078125,1.8485877513885498,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,120.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,70.0,0.17916883621260382,0.27144646090418256,0.6574674998062434,0.4838709677419355,0.666467632701637,0.6487072077922668,0.6574674998062435,-0.010457729920744896,19994.16015625,1.8371222019195557,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,130.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,68.0,0.1413726451549039,0.2671532841075624,0.6555620933451016,0.4935483870967742,0.6647933083114941,0.6465837336586369,0.6555620933451017,-0.0037590060383081436,19798.96484375,2.0519044399261475,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
