k,pretrain_Silhouette,finetune_Silhouette,contrastive_Silhouette,label_free_Silhouette,pretrain_RI,finetune_RI,contrastive_RI,label_free_RI,pretrain_ARI,finetune_ARI,contrastive_ARI,label_free_ARI,pretrain_NMI,finetune_NMI,contrastive_NMI,label_free_NMI,pretrain_AMI,finetune_AMI,contrastive_AMI,label_free_AMI,pretrain_Inertia,finetune_Inertia,contrastive_Inertia,label_free_Inertia
110,0.0130331134423613,0.2938868999481201,0.0682698413729667,0.1091116219758987,0.9365834072409678,0.9814299415877183,0.981773161598009,0.9760287409988356,0.1171720755264692,0.4467320292059827,0.4562043640564979,0.2289210888476342,0.2622842359151335,0.7398552356828583,0.743532382975302,0.5281987564705126,0.2595316716119851,0.7382362309754568,0.742006352766286,0.5253189119417819,380563.90625,4336361.5,599462.0,993422.5
120,-0.0134467938914895,0.2965010106563568,0.0655389428138732,0.0974029749631881,0.944387040853609,0.9819598716309318,0.982038896733357,0.9761409962568364,0.1080635225153616,0.4341851492390156,0.4941950186000901,0.2082219980689472,0.2886867736611241,0.741603621101306,0.7480479701231847,0.5285177831993307,0.2856511964198319,0.7398696295478363,0.7465049926507473,0.5253970089479295,375497.03125,3990801.0,601075.25,983325.875
130,0.0063529252074658,0.292608231306076,0.0695563629269599,0.1063694581389427,0.94211552628554,0.981332913946832,0.9813449541193948,0.9767771305721432,0.1279525671841354,0.4060427547194801,0.4948195468201293,0.2332754683011469,0.2922490168672455,0.7355961846354425,0.7413139386188293,0.5377673052168345,0.2888731085249155,0.7336885272893672,0.7397074419074527,0.5344592563730166,374911.84375,3813309.75,607696.9375,971895.8125
140,0.0025788201019167,0.3081702888011932,0.0595079697668552,0.1006964519619941,0.951418559849493,0.9826057806744696,0.9827218153704148,0.9776431745334424,0.1516098904484018,0.4403772488370623,0.4981640110151432,0.2286492165806624,0.299026731611873,0.7486588890936239,0.750194397859259,0.542384983534138,0.2953208975243032,0.7467083681379869,0.7484522687593753,0.5388860426490365,372509.125,3719828.25,597467.25,952259.4375
150,-0.0118409339338541,0.3011464178562164,0.0558644831180572,0.1068297028541565,0.9549332512122352,0.9817400867328588,0.9813356241344908,0.9778455113843384,0.125740874701126,0.3856876746765669,0.5215180512268955,0.2243018542725988,0.3050286737016784,0.7412616094135406,0.7443443448376291,0.5465073301746157,0.3010345722509169,0.7391338695277127,0.7427643946343097,0.5428078420573815,370148.5,3490650.25,613087.5,934473.5
160,0.0023885776754468,0.295746237039566,0.0570957139134407,0.1065781041979789,0.9563415985653286,0.9821548097088404,0.982618112295351,0.9785443508699928,0.136101872959825,0.400508539175378,0.5077592074319099,0.2376782918934398,0.3046638514322218,0.7460269874755205,0.751928406149467,0.5541387381723056,0.300320935440845,0.7437954915419006,0.7500774361415293,0.5502756518396712,368647.875,3404446.25,598056.9375,928684.9375
170,0.0030595969874411,0.318322479724884,0.0582799687981605,0.1034430786967277,0.9513294547199742,0.98404008782113,0.9825568528636032,0.9778970383437536,0.1505439343423988,0.4686778251378861,0.4988884726879203,0.2174103516391577,0.3102242053533871,0.7518620969838354,0.7536091238842143,0.5536578196767028,0.3054114901916948,0.749553516107954,0.751809398338027,0.5495520729731597,368722.40625,3187964.0,594671.3125,912885.5625
180,0.0019061119528487,0.3016357719898224,0.0633755028247833,0.1071856468915939,0.9527346201452586,0.9823200574429636,0.9829583892997223,0.978403952773094,0.1258219363004663,0.3704786878226113,0.4896278396471662,0.2114322696348245,0.3142500503413587,0.7495461128556069,0.750740498085371,0.5639160017109799,0.3090919128268123,0.7471051545658398,0.74873074564258,0.5596978763079629,367193.59375,3084221.5,588442.0625,896427.5
190,0.0051535852253437,0.3216336965560913,0.0654609128832817,0.1138312891125679,0.9557757558799695,0.9826215079088888,0.9827678102111376,0.9788781849063144,0.122821464799905,0.3862159133699519,0.4764392081356103,0.2216022415131913,0.3199880480290962,0.7545794881913551,0.7536713911937054,0.56666528265967,0.3146545204033546,0.7520514760974114,0.75164408982297,0.562251164142081,365800.84375,2927645.5,584841.9375,888396.1875
200,0.0070834471844136,0.3034964203834533,0.0670971199870109,0.1070411279797554,0.9555372456915132,0.9833387592870164,0.9830011041437392,0.9788939776373758,0.1653740326949591,0.4052660071903565,0.4728484740313033,0.206590716015535,0.3268818216550254,0.7550289696792908,0.7528024171823997,0.5681598818320251,0.3210631843093335,0.7523844654170767,0.750670489202311,0.5635532528549989,365037.40625,2846263.25,580326.1875,874066.1875
