Model,Embeddings_Dir,k,N_Points,N_Clusters,N_GT_Classes,Silhouette,RI,ARI,NMI,AMI,Inertia,Elapsed_s,Random_State,Silhouette_Subsample_N
ssl_contrastive,embeddings/self_supervised_contrastive,160,184603,160,88,0.1065781041979789,0.9785443508699928,0.2376782918934398,0.5541387381723056,0.5502756518396712,928684.9375,6.18,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,170,184603,170,88,0.1034430786967277,0.9778970383437536,0.2174103516391577,0.5536578196767028,0.5495520729731597,912885.5625,6.32,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,180,184603,180,88,0.1071856468915939,0.978403952773094,0.2114322696348245,0.5639160017109799,0.5596978763079629,896427.5,6.45,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,190,184603,190,88,0.1138312891125679,0.9788781849063144,0.2216022415131913,0.56666528265967,0.562251164142081,888396.1875,6.68,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,200,184603,200,88,0.1070411279797554,0.9788939776373758,0.206590716015535,0.5681598818320251,0.5635532528549989,874066.1875,6.59,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,10,184603,10,88,-0.0028719902038574,0.70914887330209,0.0272609892225747,0.1286035810063368,0.1280598436591002,411626.1875,2.59,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,20,184603,20,88,-0.0005025456193834,0.8523391702193449,0.0443107993666307,0.1600560934858302,0.15935360916512,403401.875,2.84,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,30,184603,30,88,-0.0008039083331823,0.8595589366585745,0.0403211438383568,0.1732835606069019,0.1723122130665877,401165.78125,3.05,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,40,184603,40,88,-0.0002448519517201,0.8730046867589932,0.070261541934841,0.200708970014223,0.1996390151927978,399470.90625,3.21,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,50,184603,50,88,-0.0103711811825633,0.81118221711981,0.0419622417518972,0.1666467207692738,0.1653733798464646,403866.28125,3.13,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,60,184603,60,88,-0.0203415304422378,0.9099012911184174,0.0930313939414064,0.2424812977297833,0.2409235574844318,391838.96875,3.63,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,70,184603,70,88,-0.0018334228079766,0.9264355629523346,0.1070004351579264,0.2333642616492753,0.2316955666660428,390691.8125,3.87,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,80,184603,80,88,-0.0167367551475763,0.9205853445006424,0.098289403515061,0.2459374525896907,0.2440007114737149,388836.09375,4.04,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,90,184603,90,88,-0.0047788512893021,0.9307041452541732,0.120021736606103,0.2626915792781966,0.260864750753822,386654.34375,4.31,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,100,184603,100,88,-0.0135318432003259,0.9334085738449416,0.1177371498517218,0.2665360299048078,0.2641696456120834,382662.96875,4.41,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,110,184603,110,88,0.0130331134423613,0.9365834072409678,0.1171720755264692,0.2622842359151335,0.2595316716119851,380563.90625,4.67,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,120,184603,120,88,-0.0134467938914895,0.944387040853609,0.1080635225153616,0.2886867736611241,0.2856511964198319,375497.03125,4.87,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,130,184603,130,88,0.0063529252074658,0.94211552628554,0.1279525671841354,0.2922490168672455,0.2888731085249155,374911.84375,5.25,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,140,184603,140,88,0.0025788201019167,0.951418559849493,0.1516098904484018,0.299026731611873,0.2953208975243032,372509.125,5.56,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,150,184603,150,88,-0.0118409339338541,0.9549332512122352,0.125740874701126,0.3050286737016784,0.3010345722509169,370148.5,5.78,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,160,184603,160,88,0.0023885776754468,0.9563415985653286,0.136101872959825,0.3046638514322218,0.300320935440845,368647.875,5.78,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,170,184603,170,88,0.0030595969874411,0.9513294547199742,0.1505439343423988,0.3102242053533871,0.3054114901916948,368722.40625,6.13,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,180,184603,180,88,0.0019061119528487,0.9527346201452586,0.1258219363004663,0.3142500503413587,0.3090919128268123,367193.59375,6.36,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,190,184603,190,88,0.0051535852253437,0.9557757558799695,0.122821464799905,0.3199880480290962,0.3146545204033546,365800.84375,6.47,42,5000
ssl_pretrain,embeddings/self_supervised_pretrain,200,184603,200,88,0.0070834471844136,0.9555372456915132,0.1653740326949591,0.3268818216550254,0.3210631843093335,365037.40625,6.55,42,5000
