representation,k,nmi,ari,ami,n_windows
a2v_3s_vote,10,0.3643429290380345,0.0556886656009581,0.1589193503284848,310
a2v_3s_vote,20,0.4453072601071695,0.0769849255254911,0.1850795519521814,310
a2v_3s_vote,30,0.4864623435189146,0.0661602821464151,0.157711199119614,310
a2v_3s_vote,40,0.5375609128716792,0.1090239848817939,0.204062985841563,310
a2v_3s_vote,50,0.5788658680718662,0.1463645295608076,0.2430929587666004,310
a2v_3s_vote,60,0.598457148092305,0.1255594209126109,0.222140546758773,310
a2v_3s_vote,70,0.6298944859484289,0.1858605789124777,0.2853386507063824,310
a2v_3s_vote,80,0.622202072343172,0.1337287260468016,0.2377657472408077,310
a2v_3s_vote,90,0.6467355128264172,0.1486287931224553,0.264208861106754,310
a2v_3s_vote,100,0.6371578310608306,0.1569403281512804,0.2557642898603171,310
a2v_3s_vote,110,0.6292608590452959,0.1184774296002342,0.2224341682590863,310
a2v_3s_vote,120,0.6574674998062434,0.1791688362126038,0.2714464609041825,310
a2v_3s_vote,130,0.6555620933451016,0.1413726451549039,0.2671532841075624,310
a2v_3s_vote,140,0.6571670683279863,0.1206406112578349,0.2261844909741649,310
a2v_3s_vote,150,0.6716448728471455,0.1565534414641816,0.2669256404366353,310
a2v_3s_vote,160,0.6645245734545409,0.1473781397052503,0.237880049627264,310
a2v_3s_vote,170,0.6754615656719801,0.1705064679365925,0.2628581491699204,310
a2v_3s_vote,180,0.6864930678241408,0.1619506860124716,0.2584390116103547,310
a2v_3s_vote,190,0.7060075855675211,0.1784202021276275,0.2798319520288721,310
a2v_3s_vote,200,0.6982476534877338,0.1685063700122152,0.25952302628129,310
a2v_5s_vote,10,0.4360481301950217,0.0416066658464113,0.120684822942993,141
a2v_5s_vote,20,0.5766456214326051,0.1033319781603094,0.2062777901987041,141
a2v_5s_vote,30,0.6432806595174438,0.1156238506352813,0.2108697959380638,141
a2v_5s_vote,40,0.6674576847869635,0.1664755972828936,0.2454534737674837,141
a2v_5s_vote,50,0.678734824720691,0.1314653494873485,0.2195313952968716,141
a2v_5s_vote,60,0.6990885930650522,0.1604751353489301,0.2439674767101718,141
a2v_5s_vote,70,0.7010081667640553,0.1255360275681663,0.2203442268684512,141
a2v_5s_vote,80,0.7111134296634812,0.1266117986747776,0.2175288427869574,141
a2v_5s_vote,90,0.6917774706104614,0.0920867384178279,0.1750204464237292,141
a2v_5s_vote,100,0.7274672829472121,0.1541805302330749,0.2422144852729132,141
a2v_5s_vote,110,0.7238411577928738,0.1172791290068919,0.2029710313197917,141
a2v_5s_vote,120,0.7592228626514513,0.1642196024094876,0.2577240116794139,141
a2v_5s_vote,130,0.7524855434499523,0.2035065468743382,0.2704880373147355,141
a2v_5s_vote,140,0.7581809920893376,0.1773622361218765,0.2559062274424762,141
