model,k,n,ARI_mean,ARI_std,AMI_mean,AMI_std,NMI_mean,NMI_std,RI_mean,RI_std,Silhouette_mean,Silhouette_std
ssl_pretrain,10,31,0.04441431662268686,0.01225322081388002,0.1539296621812952,0.023742845821063917,0.1544259192850548,0.023736915675106978,0.8192020368384366,0.04468487337801155,-0.0037000895455064214,0.00548025535208862
ssl_pretrain,20,31,0.06473203151121458,0.014367381548029605,0.19498919718437865,0.021801315712705986,0.19576897476689187,0.021828325035264152,0.8712815105617426,0.02404762206282826,-0.00114938856636252,0.004435921625428048
ssl_pretrain,30,31,0.07520182475873849,0.013105362322866833,0.2120831011717378,0.019808358295431785,0.21307388412997744,0.019832170183043445,0.8878812028008981,0.018331824585616843,-0.001238036860447592,0.0064449153385799825
ssl_pretrain,40,31,0.07730312844507073,0.016304142293164788,0.21541587438768184,0.024119039817626926,0.2165946626880903,0.024148804434737273,0.8907575590941462,0.03430933039028222,-0.003440623285226335,0.010490568863745126
ssl_pretrain,50,31,0.06959916492121053,0.017044062474677064,0.20718246332109883,0.023962115795844143,0.20850120299378702,0.02399943921096525,0.884314603651246,0.02681040472638956,-0.010943055055254385,0.012744990655844736
ssl_pretrain,60,31,0.07870897622926595,0.013578190661822408,0.2206837206693409,0.01986605858316937,0.22212116701787218,0.01987590631251694,0.8977513462368157,0.016084257569539812,-0.009485402373332251,0.011013303028163293
ssl_pretrain,70,31,0.07917054017888259,0.01895299203260143,0.2233593806002918,0.022276770424544696,0.22495290365429382,0.022287943299610376,0.8957093348838051,0.02476306760825422,-0.016576081608241804,0.013905297531427692
ssl_pretrain,80,31,0.08093064656399472,0.016074754081788305,0.22930921134882412,0.017950564814172763,0.23110508097689855,0.01794405546042204,0.9005239634068567,0.019099430342861042,-0.013222530858089826,0.011916752384272866
ssl_pretrain,90,31,0.0889241160257061,0.015347065980191683,0.24079513065964694,0.01573632512039565,0.24280304338455067,0.01567775281745725,0.914017684585543,0.01083936496680797,-0.011293798374320024,0.010747897776001865
ssl_pretrain,100,31,0.10553419605504084,0.018534597317614462,0.25957474161486577,0.012751028784917528,0.26192277797960983,0.012688548832294632,0.9277153551906878,0.010466926216870946,-0.009852045862522365,0.012737851433432859
ssl_pretrain,110,31,0.11883609289715354,0.013586499607214308,0.2727381538537072,0.009315082089526293,0.27541122916194705,0.009255382076370602,0.9362320557665443,0.0074653043540107164,-0.0011116065790936743,0.010677749093327428
ssl_pretrain,120,31,0.12205847412915606,0.016895453184738996,0.284460611280772,0.011074180004907366,0.2875041432970778,0.01103030805428172,0.9419242585621269,0.0052911980128714925,-0.004018090204615334,0.009581056560427167
ssl_pretrain,130,31,0.12239431668432317,0.01753226394571179,0.28653650794856317,0.010357926523486459,0.2899354702187288,0.010305554057661773,0.9445882558293444,0.004818160633208708,-0.001018180070640225,0.007968758471175078
ssl_pretrain,140,31,0.1362749325440903,0.016694995705320497,0.29617373817266684,0.01015277348857783,0.2998998523155552,0.01007991245839506,0.948219205338811,0.0033439770181680757,0.0012228713547360228,0.008700789290702263
ssl_pretrain,150,31,0.13218950911514915,0.015181562859506227,0.3022212601852968,0.009511355633981125,0.30628499344454185,0.009448879371333674,0.9495518049944142,0.004985589194518205,-0.0010124821335099807,0.00824931922759549
ssl_pretrain,160,31,0.129658247379195,0.019036423846526682,0.3017690620650807,0.009203061780288044,0.3061867020545267,0.009124427196469215,0.9524553651047114,0.00406301704886888,0.0010573462103850107,0.00819624843531704
ssl_pretrain,170,31,0.14114919596357284,0.018759688550290768,0.305533542631149,0.01055887371247574,0.3102964270037262,0.010467899186538373,0.952857913427599,0.0038445638903941166,-0.0028413382714197293,0.00921711428123123
ssl_pretrain,180,31,0.13897777955391216,0.01429297386675323,0.308683004644577,0.00816237435826018,0.31380093830060507,0.008079793815320207,0.9525149295675749,0.003530235518533077,0.0014601625603503324,0.008068930339488295
ssl_pretrain,190,31,0.13923610388458285,0.01960695962493329,0.31143442684990225,0.010171177558300023,0.3168364074780915,0.010067296552758438,0.9548361740304735,0.004465014702307284,-0.0006218466888024355,0.011551582368372088
ssl_pretrain,200,31,0.135892779879566,0.018897235256016803,0.31461572658424447,0.010151927149015241,0.3203418107829289,0.010072696091959755,0.9559644971323278,0.003119909645579332,0.0004572089608465776,0.008810115675360745
supervised_finetune,10,31,0.19709348479332858,0.009714546401450806,0.5191809617027372,0.00873083797599305,0.5195002291548142,0.008724842315017954,0.9001740172969611,0.003760044000233695,0.17975357367146397,0.005362150565919979
supervised_finetune,20,31,0.32899104516143957,0.009939470260023819,0.6228079845306767,0.006512728347232372,0.6232878255134529,0.00650411314804203,0.950253025368953,0.0013906196346139485,0.2558813811309876,0.00966672485828526
supervised_finetune,30,31,0.4143487459181507,0.010407868635631791,0.6701109350102693,0.005495878820980821,0.6707199818684068,0.005485307440105796,0.9665469496098335,0.0009372086840156487,0.29297209074420316,0.008985806184795324
supervised_finetune,40,31,0.45321082593924195,0.011763161097919209,0.69409470694518,0.00513258785439393,0.6948318031937526,0.005119862905218755,0.9728545913286079,0.0008082575951418501,0.3033264990775816,0.01007215884093699
supervised_finetune,50,31,0.47552991150165985,0.02073648234896308,0.7086543108679852,0.004628515841800811,0.7095168444176114,0.004615010580776821,0.9765437273213372,0.0010044517423124322,0.3094040818752781,0.012850181597290195
