model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,11,52,10,0.0564785728608817,0.1710745605839745,0.1715352023850681,0.8446724387323068,-0.0023392331786453,406772.15625
ssl_pretrain,11,52,20,0.0612346018017284,0.2147944050076852,0.2155003544705835,0.8430671197949016,-0.0162546392530202,401968.40625
ssl_pretrain,11,52,30,0.0841114390295246,0.2138498286455288,0.2148348498132133,0.8991250487477611,0.004340078216046,395656.34375
ssl_pretrain,11,52,40,0.0801178000814505,0.2213869809863518,0.2224901163213889,0.8911913292966877,-0.0014822632074356,398276.65625
ssl_pretrain,11,52,50,0.0752665290587921,0.2165478819101385,0.2177362775515411,0.883130871026437,-0.0396223738789558,397963.15625
ssl_pretrain,11,52,60,0.1010918053337232,0.2376499533390545,0.2389950410001181,0.9090500179410238,0.0054148621857166,392497.59375
ssl_pretrain,11,52,70,0.0855068022060213,0.2230860641630294,0.2247584232903232,0.9119206542377538,-0.0018082063179463,391086.03125
ssl_pretrain,11,52,80,0.0929376229032246,0.2217957800436096,0.2236291938576711,0.9182984106380108,-0.0229595508426427,391521.78125
ssl_pretrain,11,52,90,0.0700878648061488,0.2243103691436255,0.2262676902174845,0.914340535954266,-0.0233907382935285,389431.84375
ssl_pretrain,11,52,100,0.1021503764147307,0.2527238857679684,0.2550745388641648,0.926093089052088,-0.0001490753056714,383827.84375
ssl_pretrain,11,52,110,0.1178716639436033,0.2732610987572839,0.2759510272846695,0.9338325944683274,0.0043752742931246,379964.5
ssl_pretrain,11,52,120,0.1299844637953811,0.2779763252937703,0.2809633741260083,0.94680189259235,0.0029178611002862,376195.1875
ssl_pretrain,11,52,130,0.1082591667596649,0.3038404204116642,0.3071005833562312,0.9425753523854188,-0.0079571735113859,374811.125
ssl_pretrain,11,52,140,0.1286723909624951,0.2888092118709544,0.2926295767103021,0.9444370355085224,0.0110605610534548,373612.15625
ssl_pretrain,11,52,150,0.1501155380834115,0.300072716757437,0.3041804071384239,0.9508877467166998,0.009751409292221,371590.65625
ssl_pretrain,11,52,160,0.1258364717580374,0.3157344555780257,0.3200897979877199,0.9508960998860946,0.01234348770231,369457.28125
ssl_pretrain,11,52,170,0.117565962005959,0.292515914450232,0.2973240424697462,0.9560759555713138,-0.005900836084038,367858.78125
ssl_pretrain,11,52,180,0.1306978226948205,0.3048489135167958,0.3101695750386661,0.944697909337559,0.0063138990662992,367888.09375
ssl_pretrain,11,52,190,0.1547807131721804,0.3137162499374101,0.3190126845873153,0.9508575359211038,-0.0043021109886467,368478.90625
ssl_pretrain,11,52,200,0.1411389410927546,0.2945751856472841,0.3003832213314437,0.9527711690908016,-0.0042942212894558,366505.75
ssl_pretrain,12,53,10,0.0529216887972821,0.1518606205963506,0.1522830302561405,0.8457751526377041,-0.007051839493215,408985.40625
ssl_pretrain,12,53,20,0.070937085887162,0.2004123541373072,0.2012114379251054,0.8744057555923426,-0.0007861321209929,401188.09375
ssl_pretrain,12,53,30,0.0836989127379957,0.2298271586787808,0.2308795130636167,0.8910635418856635,-3.240316073060967e-05,397499.375
ssl_pretrain,12,53,40,0.0617405189724956,0.199568170332209,0.2008121685563271,0.9044888694171284,-0.0041237203404307,394351.28125
ssl_pretrain,12,53,50,0.0594274012312222,0.1917800955710537,0.1930366196418615,0.8765706425076956,-0.0159692876040935,398341.4375
ssl_pretrain,12,53,60,0.0539472591288385,0.1770883277551824,0.17852636817533,0.8677495897522611,-0.0253010373562574,400889.28125
ssl_pretrain,12,53,70,0.0823190967225234,0.2291949027526826,0.2308115172555066,0.8967981670981672,-0.0089270966127514,395763.25
ssl_pretrain,12,53,80,0.0887357859733638,0.2404024704556264,0.2421099706467171,0.9027038596209704,-4.9772737838793546e-05,393877.4375
ssl_pretrain,12,53,90,0.0886089863494017,0.2271827260641122,0.2290751518405086,0.9242138095166538,-0.0326706916093826,388269.9375
ssl_pretrain,12,53,100,0.1012248900139337,0.2669118071419362,0.2691660246532709,0.9389187667148556,-0.001326332334429,382643.25
ssl_pretrain,12,53,110,0.13662791688767,0.2828485728733833,0.2853949159717055,0.9451738885174074,-0.0112463133409619,378612.375
ssl_pretrain,12,53,120,0.1424668279693199,0.2985902374869728,0.3016416670230859,0.943063892952594,-0.0016505619278177,377133.59375
ssl_pretrain,12,53,130,0.1248821827291596,0.279338953738475,0.2828203508820555,0.9407068964048172,-0.0056426231749355,375784.28125
ssl_pretrain,12,53,140,0.1406571755635892,0.2964592500609196,0.3001572108483218,0.9481974003147658,0.0061678304336965,372497.71875
ssl_pretrain,12,53,150,0.1234344097447397,0.3157582983270013,0.3197032927509106,0.9486494925289108,0.0056503093801438,370328.21875
