model,trial,seed,selected_k,ari,ami,nmi
ssl_pretrain,1,42,120,0.1080635225153616,0.2856511964198319,0.2886867736611241
ssl_pretrain,2,43,30,0.0872919095929065,0.2418921524805998,0.242897232962036
ssl_pretrain,3,44,40,0.095483226042196,0.2247946613329042,0.2259890352024462
ssl_pretrain,4,45,30,0.0898431518910963,0.2201822519969059,0.2212228691969269
ssl_pretrain,5,46,120,0.1383519903003831,0.2822659469250066,0.285218391305314
ssl_pretrain,6,47,40,0.0763550472120866,0.2270853726229142,0.228303574827613
ssl_pretrain,7,48,130,0.1053526707700212,0.3001367852769841,0.303562423451337
ssl_pretrain,8,49,20,0.082770241589179,0.2228727055741275,0.2237305952553484
ssl_pretrain,9,50,70,0.0361071085105416,0.1852610657935453,0.1866409867098385
ssl_pretrain,10,51,120,0.1453995454481748,0.2974166976679119,0.3003705631742239
ssl_pretrain,11,52,120,0.1299844637953811,0.2779763252937703,0.2809633741260083
ssl_pretrain,12,53,110,0.13662791688767,0.2828485728733833,0.2853949159717055
ssl_pretrain,13,54,40,0.0959637828720537,0.2383276975700939,0.2395743968625796
ssl_pretrain,14,55,120,0.0921326255450494,0.2694407626929475,0.2725327586983415
ssl_pretrain,15,56,130,0.1463155781537465,0.2929697286388698,0.2963652078292952
ssl_pretrain,16,57,40,0.0969616902906317,0.2360239150028062,0.2373766893030789
ssl_pretrain,17,58,70,0.0679246818509059,0.1956602112689457,0.1972143626263279
ssl_pretrain,18,59,30,0.0800245278909542,0.2346137933418909,0.2356672624483849
ssl_pretrain,19,60,130,0.1165461722212439,0.3080557338128721,0.3113909402959706
ssl_pretrain,20,61,30,0.0982887004533682,0.2371901889365852,0.2382108856324917
ssl_pretrain,21,62,40,0.09824800324696,0.2410795558636351,0.2423045682531431
ssl_pretrain,22,63,20,0.0924149026911471,0.2144124459144509,0.2154021152002462
ssl_pretrain,23,64,30,0.0868749273026686,0.207619928387436,0.208592876577686
ssl_pretrain,24,65,40,0.096230785359892,0.2347111506546844,0.2358585426705954
ssl_pretrain,25,66,130,0.1461426242152609,0.2905183412611672,0.2939282086386731
ssl_pretrain,26,67,20,0.0704280756361515,0.2227596040865149,0.2236201287585652
ssl_pretrain,27,68,40,0.0293549778322364,0.1232370128027372,0.1242607964978205
ssl_pretrain,28,69,50,0.0963490827578599,0.2304266769323074,0.231866943731602
ssl_pretrain,29,70,120,0.1067069731380047,0.2828856755634208,0.2859628468293078
ssl_pretrain,30,71,130,0.1295276939607439,0.2924325654645583,0.2957984430367321
ssl_pretrain,31,72,50,0.0470801064554491,0.1679784758362607,0.1691571345966216
supervised_finetune,1,42,40,0.4609382966746135,0.6983564636956116,0.6990838843770032
supervised_finetune,2,43,50,0.4751412932649703,0.7080215542419895,0.7088864186417432
supervised_finetune,3,44,70,0.4640206523166332,0.7226495564286546,0.72376875606316
supervised_finetune,4,45,50,0.4664497642785,0.706370110805942,0.7072418048488232
supervised_finetune,5,46,50,0.4956979718934681,0.7120899070507507,0.7129435946401154
supervised_finetune,6,47,60,0.4848767415557994,0.7164492316320518,0.7174444163974494
supervised_finetune,7,48,60,0.5047011321172826,0.7204186319347435,0.7214009528262173
supervised_finetune,8,49,60,0.4708810138387997,0.715707855276709,0.7167033064558844
supervised_finetune,9,50,60,0.5175592709001559,0.7228670350736671,0.7238378347990941
supervised_finetune,10,51,60,0.4410929324145138,0.7101077458347179,0.711123390120432
supervised_finetune,11,52,50,0.495318219703997,0.7141579188550856,0.7150009243501991
supervised_finetune,12,53,70,0.4795551459081135,0.7257846116694149,0.7268892595572682
supervised_finetune,13,54,50,0.4791577922016711,0.7065602153323266,0.7074258680007731
supervised_finetune,14,55,50,0.5038347453383181,0.7146595032266972,0.7155019897990066
supervised_finetune,15,56,50,0.4848742479074967,0.7140518247556888,0.7148989966464073
supervised_finetune,16,57,50,0.4661448478985779,0.7088772464195907,0.7097362698839539
supervised_finetune,17,58,50,0.486945366710402,0.7061851604334574,0.7070536800990375
supervised_finetune,18,59,60,0.511154101607762,0.7269345969992118,0.7278940237736241
supervised_finetune,19,60,50,0.4842345016186304,0.7099885109412084,0.7108500520997159
supervised_finetune,20,61,50,0.4871617621743181,0.7113225030984506,0.7121726367301208
supervised_finetune,21,62,60,0.4739154511277454,0.7159936006037394,0.7169853555767505
supervised_finetune,22,63,60,0.4758480243336735,0.7167819210176507,0.7177716377470992
supervised_finetune,23,64,60,0.4887674392537144,0.7178594799223348,0.7188454552961547
supervised_finetune,24,65,50,0.4827932767368745,0.7099761329003534,0.710836093136487
supervised_finetune,25,66,50,0.4887195063856024,0.7123540340005917,0.7132062255075559
supervised_finetune,26,67,70,0.4968451751626541,0.7259744865495487,0.7270780448015247
supervised_finetune,27,68,60,0.494637047441946,0.7180156366768855,0.7190074423953138
supervised_finetune,28,69,50,0.4855887217058791,0.7125905573780484,0.7134415887785368
supervised_finetune,29,70,50,0.4451268709588794,0.7035543882216061,0.7044281930353787
supervised_finetune,30,71,60,0.5138811094449081,0.7319661498614572,0.7329017309901784
supervised_finetune,31,72,50,0.5044049742272291,0.7189704351207246,0.719799701588685
ssl_contrastive,1,42,60,0.2387201898000036,0.4866120517342525,0.4884010082363131
ssl_contrastive,2,43,60,0.2217765347434405,0.4738424444532642,0.4756773269596819
ssl_contrastive,3,44,60,0.2108619274538134,0.4691589428877484,0.4710200546482375
ssl_contrastive,4,45,50,0.2086294246788981,0.4593369507885516,0.4609353829640805
ssl_contrastive,5,46,70,0.2081197136438825,0.4754768670536645,0.4775832749264472
ssl_contrastive,6,47,70,0.201405585416201,0.4816316229312272,0.4837095973878924
ssl_contrastive,7,48,60,0.2473277854503747,0.4860557698664262,0.4878461965222668
