===SWEEPS===
model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,1,42,200,0.1653740326949591,0.32106318430933356,0.32688182165502544,0.9555372456915131,0.0070834471844136715,365037.40625
ssl_pretrain,2,43,10,0.04274687702067431,0.12449931432109204,0.12496753730966827,0.8349943417002076,-0.0020705200731754303,409296.78125
ssl_pretrain,2,43,20,0.06644742497068995,0.17990244402290412,0.18062998664282304,0.8862396411406874,0.0008155527175404131,400867.625
ssl_pretrain,2,43,30,0.08729190959290657,0.2418921524805998,0.24289723296203602,0.8996625729388013,0.004785264376550913,394503.53125
ssl_pretrain,2,43,40,0.08927377571112308,0.22547297462582894,0.22669569937951087,0.9047715738755425,-0.03419910743832588,393730.46875
ssl_pretrain,2,43,50,0.059656012277111856,0.19527354774590658,0.19665490951612644,0.862756747520788,-0.002744140801951289,400044.90625
ssl_pretrain,2,43,60,0.08415288155780683,0.23218196226969792,0.23363650410704925,0.9020439830664106,-0.009733256883919239,393281.90625
ssl_pretrain,2,43,70,0.08786989580644174,0.22325884436062074,0.22487554992396072,0.9026537193005861,-0.016419686377048492,393873.96875
ssl_pretrain,2,43,80,0.09439744379665832,0.2409463058964516,0.2427502237610386,0.9113472910589459,-0.00811082310974598,391474.34375
ssl_pretrain,2,43,90,0.09598871520203801,0.25726450764133146,0.25923671792903047,0.9090713162634639,-0.03273162245750427,389175.5625
ssl_pretrain,2,43,100,0.05673483533048819,0.23941069558370584,0.24187535977408228,0.9042379617590159,-0.014184004627168179,384640.0625
ssl_pretrain,2,43,110,0.1242288021487319,0.2730178528423794,0.27569838100421623,0.9411431676586134,0.010384504683315754,379698.84375
ssl_pretrain,2,43,120,0.12743009255175822,0.2788058601311647,0.28185767315897475,0.944232971330418,-0.023154782131314278,375802.28125
ssl_pretrain,2,43,130,0.11922477794726657,0.28458620880354374,0.2880692109884399,0.9356007142299171,-0.0055833677761256695,375540.53125
ssl_pretrain,2,43,140,0.13234614407477735,0.2836959950230173,0.2874793726798448,0.9503622185055958,0.006328843533992767,372656.09375
ssl_pretrain,2,43,150,0.12503106618185142,0.30274920482584494,0.3067485541976011,0.9536551202213478,-0.0036792708560824394,369887.4375
ssl_pretrain,2,43,160,0.10383739762619733,0.30560021708710877,0.31006105829082087,0.9488561007468308,0.005706826224923134,369022.96875
ssl_pretrain,2,43,170,0.13500168493242568,0.3046185873964998,0.30931115654363367,0.959441511256468,-0.01222637016326189,367385.9375
ssl_pretrain,2,43,180,0.14376506742539305,0.31941316220493654,0.324433070363018,0.9504508041810126,-0.0016631780890747905,367540.15625
ssl_pretrain,2,43,190,0.1702467420301389,0.32740801711125056,0.33258142525015344,0.9563060233834798,0.0073686339892446995,365630.9375
ssl_pretrain,2,43,200,0.11239479103953154,0.32220164317005834,0.3278559098053531,0.9578022504450496,-0.00016099678759928793,364559.96875
ssl_pretrain,3,44,10,0.04343706051263988,0.1609772356643016,0.16149749625222073,0.8516763043534444,-0.01840405911207199,404753.9375
ssl_pretrain,3,44,20,0.0681631396258645,0.19049538512795838,0.19124874653497997,0.877811868547099,0.0011050699977204204,402472.65625
ssl_pretrain,3,44,30,0.06174947199313811,0.20649227625020747,0.20743120091833053,0.8613195956131712,-0.008157782256603241,400657.75
ssl_pretrain,3,44,40,0.09548322604219606,0.2247946613329042,0.22598903520244623,0.9134846487262529,0.007222489919513464,392262.53125
ssl_pretrain,3,44,50,0.07365047386083581,0.21726633579946472,0.2185719201269363,0.8907186493047654,-0.004302856978029013,394776.65625
ssl_pretrain,3,44,60,0.08340229648419215,0.2358166808713812,0.2371635647489939,0.8945799068167221,-0.014296354725956917,396223.625
ssl_pretrain,3,44,70,0.07040394269961883,0.21939502129759728,0.22104470260158546,0.883946663217421,-0.00030938483541831374,395430.34375
ssl_pretrain,3,44,80,0.09153824405739042,0.22185671323477804,0.2236563903596599,0.918279512626644,0.0045714848674833775,391292.90625
ssl_pretrain,3,44,90,0.07685726303846115,0.2294499555816071,0.23140647190245622,0.8967179244976806,-0.003905217396095395,389689.375
ssl_pretrain,3,44,100,0.11382089937160957,0.25458674295306705,0.2568982922357741,0.9368755721493708,0.0027961204759776592,382787.96875
ssl_pretrain,3,44,110,0.1301169530797022,0.2810983543186143,0.28367209654313663,0.9384520040745628,-0.020136108621954918,379551.5625
ssl_pretrain,3,44,120,0.12537433916876872,0.2722360753730767,0.2752904524183403,0.9443152543038911,-0.014431305229663849,376421.0
ssl_pretrain,3,44,130,0.1315276342388963,0.28952912144856846,0.2928769559428197,0.9472421981106316,-0.004151273053139448,374294.1875
ssl_pretrain,3,44,140,0.14389000278794456,0.2934370950944658,0.29713058924925595,0.9521591162357063,-0.020732523873448372,372255.15625
ssl_pretrain,3,44,150,0.1169737730479871,0.2830585448978291,0.2874297681022244,0.9406129312601393,0.010189957916736603,372513.6875
ssl_pretrain,3,44,160,0.11986369429681522,0.29606541359771954,0.3005082927154811,0.9504076050961421,0.009802359156310558,370621.59375
ssl_pretrain,3,44,170,0.1562827055840927,0.3035006470791111,0.3081726232468125,0.9565582057024936,0.002013685181736946,368052.25
ssl_pretrain,3,44,180,0.15350466172510757,0.31714079072567164,0.3221369190033458,0.9573424121379112,-0.008229753002524376,366876.875
ssl_pretrain,3,44,190,0.15539929324805676,0.3176203022827724,0.32304663741818057,0.9513607095883837,0.011114915832877159,367597.875
ssl_pretrain,3,44,200,0.1354740809289212,0.33313041495913503,0.33868701039753846,0.9547475732796212,0.008373506367206573,365241.875
ssl_pretrain,4,45,10,0.0550572597042322,0.15425333521925025,0.15472440842254992,0.8498214356394717,-4.106247433810495e-05,407523.5625
ssl_pretrain,4,45,20,0.06618494002111772,0.20857086082958248,0.20933885644785594,0.8752331697985652,0.0010321041336283088,402072.84375
ssl_pretrain,4,45,30,0.08984315189109633,0.22018225199690594,0.22122286919692694,0.9121885161359243,0.006670067552477121,393823.625
ssl_pretrain,4,45,40,0.0885580241744676,0.2262716733823698,0.2274943294353332,0.9037887623132225,0.0033254874870181084,393412.78125
ssl_pretrain,4,45,50,0.05757369374428907,0.20434019645385726,0.20581950321878587,0.8876461305841096,-0.003905022516846657,397518.46875
ssl_pretrain,4,45,60,0.08595075653071027,0.21910923101259008,0.2204321138294013,0.9052214418448559,-0.017446700483560562,396072.6875
ssl_pretrain,4,45,70,0.10843940345281376,0.25496840590540815,0.2566758025009929,0.9238113326520488,-0.0161921177059412,388245.8125
ssl_pretrain,4,45,80,0.06053258249808051,0.20105454494090563,0.20304653165778505,0.8960029925575327,-0.026080584153532982,393249.21875
ssl_pretrain,4,45,90,0.08847315474224306,0.24732058941158774,0.24937558127930431,0.9102778057832165,-0.008092008531093597,388546.75
ssl_pretrain,4,45,100,0.11687218288360042,0.27376519322106746,0.27609408143663755,0.9298177891174539,-0.00794428400695324,382889.84375
ssl_pretrain,4,45,110,0.12485654838438232,0.27493473633711507,0.27752522612469105,0.941621374663307,0.003952607046812773,379298.8125
ssl_pretrain,4,45,120,0.11665343083541727,0.28991633728087074,0.2929522938496992,0.9510740597202476,-0.006156501825898886,376429.28125
ssl_pretrain,4,45,130,0.11406612695613272,0.2660562753396421,0.26965282352256587,0.9381150455667154,-0.004668090958148241,375066.125
ssl_pretrain,4,45,140,0.09528257017758977,0.27585034074248993,0.2797047951948064,0.9489685739161499,-0.0005865491693839431,372567.59375
ssl_pretrain,4,45,150,0.1265438879361957,0.2994016172111111,0.3035301981112167,0.9530464527679483,-0.0011975171510130167,370821.90625
ssl_pretrain,4,45,160,0.16740592416672198,0.30343868902592885,0.30775388292760886,0.9600215073788003,0.00743075180798769,368221.9375
ssl_pretrain,4,45,170,0.1536069360373909,0.3301432642359057,0.3347158612590852,0.9527687070391662,-0.007619563490152359,368264.96875
ssl_pretrain,4,45,180,0.1411966557144517,0.30288632404561316,0.30810626087331694,0.9484848600289251,0.0053643761202692986,369043.09375
ssl_pretrain,4,45,190,0.1212531433532105,0.29119751588311266,0.29680029911143896,0.9438819713050381,-0.027853136882185936,369213.625
ssl_pretrain,4,45,200,0.15592996530191713,0.31292983892968274,0.3186292442073699,0.9587967538035288,0.006748358253389597,365219.53125
ssl_pretrain,5,46,10,0.06844259867849031,0.1998684313289396,0.20040577377999177,0.8738264359751997,-0.0017103998688980937,404179.375
